Season,Team,Player Names
2000,Espanyol Barcelona,"['Juan Luis Mora', 'Alfredo Argensó', 'Salvador Balbuena', 'Pablo Rotchen', 'Nando', 'Mauricio Pochettino', 'Toni Soldevilla', 'Alberto Lopo', 'Delio Toledo', 'David García', 'Cristóbal Parralo', 'Constantin Galca', 'Àngel Morales', 'Sergio', 'Moisés Arteaga', 'Iván Díaz', 'Toni Velamazán', 'Nan Ribera', 'Mauro Navas', 'David Arteaga', 'Roger García', 'Óscar García', 'Quique de Lucas', 'Jordi Lardín', 'Martín Posse', 'Manuel Serrano', 'Miguel Ángel Benítez', 'David Aganzo', 'Manel', 'Raúl Tamudo', 'Akinori Nishizawa']"
2000,Real Oviedo,"['Esteban', 'Juan Carlos Unzué', 'Pedro Dorronsoro', 'Pablo Suárez', 'Sergio Boris', 'Viktor Onopko', 'Frédéric Danjou', 'Milan Martinovic', 'Óscar Álvarez', 'Joyce Moreno', 'Gaspar Gálvez', 'Raúl García', 'Franck Rabarivony', 'Ivo Rodríguez', 'Idrissa Keita', 'Albert Nadj', 'Ricardo Bango', 'Djordje Tomic', 'Óscar Pérez', 'Rubén Reyes', 'Daniel Amieva', 'Jaime de Urríes', 'Gert Claessens', 'Iván Ania', 'Geni', 'Rubén Suárez', 'Oli', 'Roberto Losada', 'Juan González', 'Veljko Paunovic', 'Stan Collymore', 'Peter Möller']"
2000,Real Valladolid,"['Ricardo', 'Jon Ander', 'Albano Bizzarri', 'Gabriel Heinze', 'García Calvo', 'José Luis Santamaría', 'Juan Manuel Peña', 'Alberto Marcos', 'Javier Torres Gómez', 'Eusebio', 'Jesús Sánchez', 'Jesús Ángel Turiel', 'Hárold Lozano', 'José Luis Caminero', 'Pablo Ricchetti', 'Luis Márquez', 'Chema', 'Antonio López', 'Dragan Ciric', 'Fernando', 'Raúl Ibáñez', 'Fernando Sales', 'Cuauhtémoc Blanco', 'Dragan Isailovic', 'Iván Kaviedes', 'Alberto López Moreno', 'Sergio Pachón']"
2000,Deportivo La Coruna,"[""Jacques Songo'o"", 'José Francisco Molina', 'Dani Mallo', 'Petr Kouba', 'Noureddine Naybet', 'César Martín', 'Luis Miguel Ramis', 'Hélder Cristóvão', 'Enrique Romero', 'Joan Capdevila', 'Manuel Pablo', 'Lionel Scaloni', 'Mauro Silva', 'Émerson', 'César Sampaio', 'Donato', 'Aldo Duscher', 'Slavisa Jokanovic', 'Fran', 'Fernando', 'Djalminha', 'Juan Carlos Valerón', 'Víctor Sánchez', 'Renaldo', 'Pauleta', 'Roy Makaay', 'Diego Tristán', 'Turu Flores', 'Walter Pandiani', 'Salaheddine Bassir']"
2000,Rayo Vallecano,"['Kasey Keller', 'Julen Lopetegui', 'Sergio Segura', 'Ramón de Quintana', 'Urbano', 'Ángel Luis Alcázar', 'David Clotet', 'Patxi Ferreira', 'Sergio Ballesteros', 'Mingo', 'Pedro Hontecillas', 'Jesús Cota', 'Mauro García', 'Josep Setvalls', 'Gerhard Poschner', 'Pablo Sanz', 'Hélder Baptista', 'Iván Iglesias', 'Mami Quevedo', 'Míchel', 'Luis Cembranos', 'Gláucio', 'Dani Bouzas', 'Gustavo Bartelt', 'Elvir Bolic', 'Bolo']"
2000,Celta Vigo,"['Pablo Cavallero', 'José Manuel Pinto', 'Roberto Fernández', 'Fernando Cáceres', 'Francisco Noguerol', 'Goran Djorovic', 'Sergio Fernández', 'Yago Yao', 'Eduardo Berizzo', 'Juan Bugarín', 'Rafa Berges', 'Manolo Sánchez', 'Juanfran', 'Jacobo Campos', 'Juan Velasco', 'Pablo Coira', 'Vágner', 'Juan Jayo', 'Doriva', 'Bruno Caires', 'Borja Oubiña', 'Everton Giovanella', 'Jonathan Aspas', 'Valeriy Karpin', 'Tomás Hervás', 'Aleksandr Mostovoy', 'Jesuli', 'Gustavo López', 'Edú', 'Pablo Couñago', 'Benni McCarthy', 'Mario Turdó', 'Catanha', 'José María Mena']"
2000,Real Madrid,"['Bodo Illgner', 'César Sánchez', 'Iker Casillas', 'Fernando Hierro', 'Manolo Sanchís', 'Iván Helguera', 'Aitor Karanka', 'Júlio César', 'Francisco Pavón', 'Rubén González', 'Roberto Carlos', 'Enrique Corrales', 'Míchel Salgado', 'Óscar Miñambres', 'Iván Campo', 'Albert Celades', 'Claude Makélélé', 'Guti', 'Flávio Conceição', 'Alberto Rivera', 'Steve McManaman', 'Njitap Geremi', 'Santiago Solari', 'Álvaro Benito', 'Sávio', 'Luís Figo', 'Perica Ognjenovic', 'Raúl', 'Pedro Munitis', 'Fernando Morientes', 'Tote']"
2000,FC Valencia,"['Santiago Cañizares', 'Jorge Bartual', 'Andrés Palop', 'Mauricio Pellegrino', 'Joachim Björklund', 'Miroslav Djukic', 'Roberto Ayala', 'Roberto Amarilla', 'Amedeo Carboni', 'Fábio Aurélio', 'Jocelyn Angloma', 'Gerardo', 'Didier Deschamps', 'David Albelda', 'Rubén Baraja', 'Luis Milla', 'Gaizka Mendieta', 'Miguel Albiol', 'Kily González', 'Zlatko Zahovic', 'Pablo Aimar', 'Líbero Parri', 'Vicente', 'Miguel Ángel Angulo', 'John Carew', 'Diego Alonso', 'Adrian Ilie', 'Juan Sánchez']"
2000,UD Las Palmas,"['Zeljko Cicovic', 'Francisco Amador', 'Nacho González', 'Paquito', 'Ramón González', 'Koldo Sarasua', 'Gabriel Schürrer', 'Álvaro', 'Tomás Olías', 'Jaime Molina', 'Paqui', 'Robert Jarni', 'Baiano', 'Edu Alonso', 'Ángel López', 'Antonio Moreno', 'Josico', 'Álex Castro', 'Pablo Lago', 'Vinny Samways', 'Jorge Larena', 'Carmelo', 'Thórdur Gudjónsson', 'Antonio Guayre', 'Eloy Jiménez', 'Orlando', 'Oktay Derelioglu', 'Mario Turdó', 'Souleymane Oulare', 'Rubén Castro']"
2000,FC Villarreal,"['Javier López Vallejo', 'Jesús Unanua', 'Iñaki Berruet', 'Quique Medina', 'Jaime Ramos', 'Igor Tasevski', 'Quique Álvarez', 'Unai Vergara', 'Rodolfo Arruabarrena', 'Jesús Galván', 'Xavi Roca', 'Javi Gracia', 'Guillermo Amor', 'Gustavo Barros Schelotto', 'Diego Cagna', 'Javier Calleja', 'Wálter Gaitán', 'Gerard Escoda', 'Bruno Marioni', 'Jorge López', 'Gica Craioveanu', 'Moisés García', 'Víctor Fernández', 'Martín Palermo']"
2001,Real Betis Sevilla,"['Toni Doblas', 'Toni Prats', 'Ronny Gaspercic', 'Iulian Filipescu', 'Diego Crosa', 'Juanito', 'Juan Merino', 'David Belenguer', 'David Rivas', 'Luis Fernández', 'Mingo', 'Fernando Varela', 'Washington Tais', 'Antonio Estévez', 'Juanjo Cañas', 'Calado', 'Javier Castaño', 'Ito', 'Joey Gudjónsson', 'César de Loma', 'Benjamín', 'Capi', 'Denílson', 'Joaquín', 'Gaby Amato', 'Gastón Casas', 'João Tomás', 'Victor Ikpeba', 'Dani']"
2001,Espanyol Barcelona,"['David Miranda', 'Juan Luis Mora', 'Alfredo Argensó', 'Fran', 'Pablo Rotchen', 'Alberto Lopo', 'Toni Soldevilla', 'David Catalá', 'César Santis', 'Ricardo Cavas', 'David García', 'Bruno Saltor', 'Marc Bertrán', 'Raúl Vates', 'Àngel Morales', 'Álex Fernández', 'Moisés Hurtado', 'Iván Díaz', 'Paulo Sousa', 'Toni Velamazán', 'Mauro Navas', 'Roger García', 'Catalin Munteanu', 'Óscar García', 'Quique de Lucas', 'Martín Posse', 'Antonio Pacheco', 'Manel', 'Miguel Ángel Benítez', 'Francisco Palencia', 'David Aganzo', 'Raúl Tamudo']"
2001,FC Sevilla,"['Frode Olsen', 'Antonio Notario', 'Óscar Rodríguez', 'Javi Navarro', 'José Miguel Prieto', 'Juanmi Gelabert', 'Pablo Alfaro', 'David Castedo', 'Zoran Njegus', 'Francisco Lama', 'Inti Podestá', 'José Taira', 'Javi Casquero', 'Gerardo Torrado', 'Álvaro Jurado', 'Víctor Salas', 'Alfonso Vera', 'Paco Gallardo', 'Mario Cotelo', 'Fredi', 'Tomás Hervás', 'David Arteaga', 'Bakero', 'José Antonio Reyes', 'Nicolás Olivera', 'Luis Gil', 'Moisés García', 'Mariano Toedtli', 'Antoñito']"
2001,Celta Vigo,"['Pablo Cavallero', 'José Manuel Pinto', 'Fernando Cáceres', 'Eduardo Berizzo', 'Sebastián Méndez', 'Sergio Fernández', 'Yago Yao', 'Sylvinho', 'Juanfran', 'Jacobo Campos', 'Juan Velasco', 'Pablo Coira', 'Borja Oubiña', 'Vágner', 'Doriva', 'Peter Luccin', 'Everton Giovanella', 'Jonathan Aspas', 'Valeriy Karpin', 'Aleksandr Mostovoy', 'Zvonimir Boban', 'Jesuli', 'Edgar Pedride', 'Gustavo López', 'Edú', 'Florian Maurice', 'Benni McCarthy', 'Catanha']"
2001,FC Barcelona,"['Roberto Bonano', 'Pepe Reina', 'Richard Dutruel', 'Víctor Valdés', 'Frank de Boer', 'Patrik Andersson', 'Abelardo', 'Philippe Christanval', 'Carles Puyol', 'Oleguer', 'Dani Tortolero', 'Sergi Barjuan', 'Francesco Coco', 'Fernando Navarro', 'Nano', 'Samuel Okunowo', 'Michael Reiziger', 'Phillip Cocu', 'Gabri', 'Thiago Motta', 'Xavi', 'Gerard López', 'Fábio Rochemback', 'Roberto Trashorras', 'Luis Enrique', 'Geovanni', 'Marc Overmars', 'Jofre Mateu', 'Javier Saviola', 'Rivaldo', 'Patrick Kluivert', 'Dani García', 'Alfonso']"
2001,Real Madrid,"['Diego Arroyo', 'Iker Casillas', 'César Sánchez', 'Carlos Sánchez', 'Fernando Hierro', 'Iván Helguera', 'Aitor Karanka', 'Francisco Pavón', 'Raúl Bravo', 'Rubén González', 'César Navas', 'Roberto Carlos', 'Míchel Salgado', 'Óscar Miñambres', 'Iván Campo', 'Albert Celades', 'Claude Makélélé', 'Borja Fernández', 'Guti', 'Flávio Conceição', 'Alberto Rivera', 'Steve McManaman', 'Njitap Geremi', 'Santiago Solari', 'Zinédine Zidane', 'David Sousa', 'Sávio', 'Elvir Baljic', 'Luís Figo', 'Valdo', 'Raúl', 'Pedro Munitis', 'Fernando Morientes', 'Carlos Aranda', 'Javier Portillo']"
2001,FC Valencia,"['Santiago Cañizares', 'Andrés Palop', 'David Rangel', 'Mauricio Pellegrino', 'Roberto Ayala', 'Miroslav Djukic', 'Carlos Marchena', 'David Navarro', 'Fábio Aurélio', 'Amedeo Carboni', 'Jocelyn Angloma', 'Curro Torres', 'Javier Garrido', 'David Albelda', 'Gonzalo de los Santos', 'Rubén Baraja', 'Dennis Serban', 'Kily González', 'Pablo Aimar', 'Jandro', 'Vicente', 'Francisco Rufete', 'Miguel Ángel Angulo', 'John Carew', 'Salva Ballesta', 'Adrian Ilie', 'Juan Sánchez', 'Mista']"
2001,Real Saragossa,"['Juanmi', 'César Laínez', 'Rubén Falcón', 'Miguel Rebosio', 'Slobodan Komljenovic', 'Xavi Aguado', 'Gary Sundgren', 'Paco Jémez', 'César Jiménez', 'Esquerdinha', 'Carlos Cuartero', 'Pablo Díaz', 'Jordi Ferrón', 'José Ignacio', 'Santi Aragón', 'Chaínho', 'Miguel Ángel Corona', 'Roberto Acuña', 'Marcos Vales', 'Ander Garitano', 'Martín Vellisca', 'Cani', 'Luciano Galletti', 'Paulo Jamelli', 'Juanele', 'Yordi', 'Mate Bilic', 'Goran Drulic', 'Savo Milosevic']"
2001,UD Las Palmas,"['Nauzet Pérez', 'Zeljko Cicovic', 'Nacho González', 'Orlando Quintana', 'Tomás Olías', 'Álvaro', 'Ramón González', 'Koldo Sarasua', 'Jaime Molina', 'Gabriel Schürrer', 'Paqui', 'Jaime Quesada', 'Edu Alonso', 'Ángel López', 'Alberto', 'Josico', 'Juan Jayo', 'Poncho', 'Pablo Lago', 'Vinny Samways', 'Jorge Larena', 'Jotha Pérez', 'Juan Carlos Socorro', 'Carmelo', 'Nauzet Alemán', 'Eloy Jiménez', 'Orlando', 'Marcos Sequeiros', 'Luis Tevenet', 'Rubén Castro']"
2001,FC Villarreal,"['Javier López Vallejo', 'Jesús Unanua', 'Víctor Gutiérrez', 'Iñaki Berruet', 'Quique Álvarez', 'Sergio Ballesteros', 'Unai Vergara', 'Leo Bermejo', 'Rodolfo Arruabarrena', 'Jesús Galván', 'Xavi Roca', 'Constantin Galca', 'Javi Gracia', 'Guillermo Amor', 'Diego Cagna', 'Javier Calleja', 'Gerard Escoda', 'Quique Martín', 'Jorge López', 'Antonio Guayre', 'Gica Craioveanu', 'Martín Palermo', 'Juan Antonio Pizzi', 'Víctor Fernández']"
2001,Athletic Bilbao,"['Iñaki Lafuente', 'Daniel Aranzubia', 'Rafael Alkorta', 'Roberto Ríos', 'Ander Murillo', 'Aitor Ocio', 'Carlos Gurpegui', 'Aitor Larrazabal', 'Asier del Horno', 'Iñigo Larrainzar', 'Oskar Vales', 'Mari Lacruz', 'Felipe Guréndez', 'Carlos García', 'Josu Urrutia', 'Andoni Imaz', 'Pablo Orbaiz', 'Tiko', 'Javi González', 'David Cuéllar', 'Bittor Alkiza', 'Julen Guerrero', 'Fran Yeste', 'Joseba Etxeberria', 'Santiago Ezquerro', 'Ismael Urzaiz', 'David Karanka']"
2001,FC Málaga,"['Rafa González', 'Pedro Contreras', 'Francesc Arnau', 'Francisco Bravo', 'Litos', 'Mikel Roteta', 'Fernando Sanz', 'Txomin Larrainzar', 'Josemi', 'Raúl Iznata', 'Vicente Valcarce', 'Roberto Rojas', 'Gerardo', 'Miguel Ángel', 'Marcelo Romero', 'Sandro', 'Manu Sánchez', 'Manuel Ruano', 'Duda', 'Ivan Leko', 'Ariel Zárate', 'Kiki Musampa', 'Edgar', 'Julio Dely Valdés', 'Darío Silva', 'Pablo Calandria', 'Manuel Canabal']"
2001,RCD Mallorca,"['Carlos Roa', 'Miki', 'Leo Franco', 'Alberto Cifuentes', 'Fernando Niño', 'Gustavo Siviero', 'Miguel Ángel Nadal', 'Miquel Soler', 'Cristian Díaz', 'Miquel Buades', 'Fatih Akyel', 'Javier Olaizola', 'Marcos Martín', 'Vicente', 'Paco Soler', 'Vicente Engonga', 'Alejandro Campano', 'Álvaro Novo', 'Albert Riera', 'Julián Robles', 'Ariel Ibagaza', 'Albert Luque', 'Carlitos', 'Leo Biagini', ""Samuel Eto'o"", 'Veljko Paunovic', 'Roberto Losada', 'Dani Güiza']"
2001,CD Teneriffa,"['Rafa Ponzo', 'Sergio Aragoneses', 'Julio Iglesias', 'David Charcos', 'Pablo Paz', 'Federico Lussenhoff', 'Javier Muñoz Mustafá', 'David Bermudo', 'Alexis', 'Javi López', 'Manel Menéndez', 'Dani', 'Javi Venta', 'Jordi Ocaña', 'Federico Basavilbaso', 'Rubén Estévez', 'Josep Lluís Martí', 'Jaime', 'Antonio Hidalgo', 'Bino', 'Vitolo', 'Iván Ania', 'Samuel Slovak', 'Christian Bassedas', 'Hugo Morales', 'Bruno Marioni', 'Acorán Barrera', 'Xisco Muñoz', 'Esteban Fuertes', 'Pier', 'Igor Simutenkov']"
2001,Deportivo Alavés,"['Juan Pablo Colinas', 'Martín Herrera', 'Kike Burgos', 'Fabricio Coloccini', 'Dan Eggen', 'Antonio Karmona', 'Óscar Téllez', 'Juan Ochoa', 'Josu Sarriegi', 'Ibon Begoña', 'Carlos Llorens', 'Delfí Geli', 'Gustavo Lombardi', 'Chris Kanu', 'Sergio de la Cruz', 'Hermes Desio', 'Jesús Ángel Turiel', 'Pablo Gómez', 'Martín Astudillo', 'Richard Witschge', 'Bogdan Mara', 'Magno', 'Jordi Cruyff', 'Rubén Navarro', 'Iván Alonso', 'Jurica Vucko']"
2001,CA Osasuna,"['Ricardo Sanzol', 'Juan Carlos Unzué', 'Iban Pérez', 'José Mateo', 'Francisco Jusué', 'César Cruchaga', 'Josetxo', 'Pablo Contreras', 'Rafael Olarra', 'Manolo Sánchez', 'José Manuel Yanguas', 'José Izquierdo', 'Ángel Lekunberri', 'Alfredo', 'Patxi Puñal', 'David Cano', 'Iñaki Muñoz', 'César Palacios', 'Gerardo Rivero', 'Fernando', 'Leonel Gancedo', 'Daniel Montenegro', 'Iván Rosado', 'Mariano Armentano', 'Sabino Sánchez', 'John Aloisi']"
2001,Real Sociedad San Sebastián,"['Pablo Llorca', 'Alberto López', 'Mattias Asper', 'Sander Westerveld', 'Bjørn Tore Kvarme', 'Loren', 'Luiz Alberto', 'Jon Andoni Pikabea', 'Zuhaitz Gurrutxaga', 'Igor Jauregi', 'Agustín Aranzabal', 'Aitor López Rekarte', 'Xabi Alonso', 'Mikel Aranburu', 'Dmitriy Khokhlov', 'Mikel Alonso', 'Xabi Prieto', 'Tayfun Korkut', 'Javi de Pedro', 'Igor Gabilondo', 'Iñigo Idiakez', 'José Javier Barkero', 'Gari Uranga', 'Alberto Alejandro', 'Giorgi Demetradze', 'Óscar de Paula', 'Nihat Kahveci', 'Joseba Llorente', 'Edgaras Jankauskas', 'Darko Kovacevic', 'Juan Ugarte']"
2001,Real Valladolid,"['Ricardo', 'Jon Ander', 'Albano Bizzarri', 'Juan Manuel Peña', 'Gaspar Gálvez', 'Mario Abrante', 'José Luis Santamaría', 'Manuel Tena', 'Alberto Marcos', 'Javier Torres Gómez', 'Eusebio', 'Jesús Sánchez', 'Javi Jiménez', 'Javier Baraja', 'Hárold Lozano', 'José Luis Caminero', 'Chema', 'Pablo Ricchetti', 'Antonio López', 'Dragan Ciric', 'Fernando', 'Óscar González', 'Luis García', 'Fernando Sales', 'Cuauhtémoc Blanco', 'Tote', 'Sergio Pachón', 'Turu Flores']"
2001,Rayo Vallecano,"['Imanol Etxeberria', 'Julen Lopetegui', 'Ramón de Quintana', 'Ángel Luis Alcázar', 'Jean-François Hernandez', 'Sergio Korino', 'Diego Maínz', 'Patricio Graff', 'Jesús Cota', 'Jordi Ferrón', 'Mauro García', 'Éric Roy', 'Pablo Sanz', 'Hélder Baptista', 'Iván Iglesias', 'Mami Quevedo', 'Jorge Azkoitia', 'Moisés Arteaga', 'Ángel Vivar Dorado', 'Míchel', 'Luis Cembranos', 'Gláucio', 'Emir Granov', 'Elvir Baljic', 'Roberto Peragón', 'Elvir Bolic', 'Bolo', 'Bruno Rodriguez']"
2001,Deportivo La Coruna,"['José Francisco Molina', 'Nuno Espírito Santo', 'Dani Mallo', 'Antonio López', 'Javi Angeriz', 'Noureddine Naybet', 'César Martín', 'Goran Djorovic', 'Hélder Cristóvão', 'Enrique Romero', 'Joan Capdevila', 'Manuel Pablo', 'Lionel Scaloni', 'Héctor Berenguel', 'Mauro Silva', 'Émerson', 'Donato', 'Aldo Duscher', 'Sergio', 'José Manuel', 'Fran', 'José Amavisca', 'Djalminha', 'Juan Carlos Valerón', 'Víctor Sánchez', 'Changui', 'Roy Makaay', 'Diego Tristán', 'Walter Pandiani']"
2002,Real Betis Sevilla,"['Toni Prats', 'Ronny Gaspercic', 'Toni Doblas', 'Iulian Filipescu', 'Juanito', 'David Rivas', 'David Belenguer', 'Arzu', 'Melli', 'Luis Fernández', 'Mingo', 'Fernando Varela', 'Washington Tais', 'Francisco Javier Flores', 'Juanjo Cañas', 'Joey Gudjónsson', 'Ito', 'Marcos Assunção', 'Calado', 'César de Loma', 'Benjamín', 'Fernando', 'Capi', 'Francisco Maldonado', 'Denílson', 'Joaquín', 'Dani', 'Alfonso', 'Gastón Casas', 'João Tomás']"
2002,Atlético Madrid,"['Esteban', 'Germán Burgos', 'Juanma Barrero', 'Mirsad Hibic', 'García Calvo', 'Santi Denia', 'Fabricio Coloccini', 'Sergi Barjuan', 'Lluís Carreras', 'Jorge Otero', 'Juan Carlos Aguilera', 'Armando Álvarez', 'Cosmin Contra', 'José María Movilla', 'Demetrio Albertini', 'Émerson', 'Txomin Nagore', 'Jorge Larena', 'Jovan Stankovic', 'Dani', 'Luis García', 'Fernando Torres', 'Fernando Correa', 'Javi Moreno', 'José Mari']"
2002,Real Madrid,"['Iker Casillas', 'César Sánchez', 'Carlos Sánchez', 'Juan José Olalla', 'Fernando Hierro', 'Iván Helguera', 'Raúl Bravo', 'Francisco Pavón', 'Rubén González', 'César Navas', 'Roberto Carlos', 'Míchel Salgado', 'Óscar Miñambres', 'Esteban Cambiasso', 'Albert Celades', 'Claude Makélélé', 'Borja Fernández', 'Guti', 'Flávio Conceição', 'Luis García', 'Steve McManaman', 'Santiago Solari', 'Zinédine Zidane', 'Álex Pérez', 'Luís Figo', 'Valdo', 'Raúl', 'Fernando Morientes', 'Ronaldo', 'Tote', 'Javier Portillo']"
2002,FC Villarreal,"['Javier López Vallejo', 'Jesús Unanua', 'Pepe Reina', 'Iñaki Berruet', 'Quique Álvarez', 'Sergio Ballesteros', 'Quique Medina', 'Unai Vergara', 'César Arzo', 'Rodolfo Arruabarrena', 'Juliano Belletti', 'Jesús Galván', 'Javi Venta', 'Verza', 'David Galindo', 'Constantin Galca', 'Josico', 'Javi Gracia', 'Marcos Senna', 'Javier Farinós', 'Rubén Reyes', 'Héctor Font', 'Javier Calleja', 'José María Cases', 'Jorge López', 'Antonio Guayre', 'Xisco Nadal', 'Carlos Aranda', 'Antonio de Nigris', 'Martín Palermo', 'Víctor Fernández']"
